,matchID,Court,min_fromNet,avg_fromNet,max_fromNet,std_fromNet,min_fromCentre,avg_fromCentre,max_fromCentret,std_fromCentret,avg_dist,max_dist,std_dist,avg_Acceleration,max_Acceleration,std_Acceleration,frontHalf,backHalf,behindLine,rallyLength,Winner,Gender,Server
99,77,0.0,1141.184723178921,1349.9887880606332,1544.3065253303957,129.42981193362024,0.0,136.3877797924856,375.58154593282063,99.76828489852703,10.689811510832763,75.05076647675182,9.896685510905817,7.173584668060011,62.82633128302445,9.019497833481626,0.0,0.11353711790393013,0.8864628820960698,228.0,0,0,1
100,78,1.0,1040.7077259253615,1186.8444596745878,1286.8494401238354,50.05132930155253,5.46856295578732,316.9009317809574,561.7407432451027,120.82078449153579,14.066909845611653,71.84118225444585,13.644561572207188,8.938861063141541,42.960858638515106,10.46704860032093,0.0,0.6411483253588517,0.3588516746411483,208.0,1,0,0
101,78,0.0,428.8113758499444,943.9366787872302,1255.7388242712623,283.6750329718408,57.018476172064766,113.52488597738257,174.8227011360393,27.54805047685857,10.819269475091318,104.19749744505664,13.253281517619708,8.991751722417524,97.91980199855708,12.330407602361555,0.22488038277511962,0.49282296650717705,0.2822966507177033,208.0,0,0,1
102,80,1.0,1120.6791707973434,1226.8532973316437,1352.1237589954953,44.75454880524789,1.4388250049432827,122.53280689374654,418.7013457772557,124.58809216343883,12.211476983739656,71.16798513658452,13.479403164534,9.280201277002472,66.25663694743339,11.822982025008232,0.0,0.2815533980582524,0.7184466019417476,205.0,0,0,1
103,80,0.0,1080.9902648419143,1204.3857693456346,1282.9277677583368,53.14259156023352,0.38867436914119935,143.20889804322715,318.1314712393794,92.77918902023733,7.833302072773849,33.544911523135056,6.250094253975588,5.260069862154446,31.373032630149407,4.655480346569787,0.0,0.4563106796116505,0.5436893203883495,205.0,1,0,0
104,81,1.0,1036.164797291388,1192.69032738486,1318.7625099649686,70.53489408202428,2.0430815407330556,79.7299849606334,190.07815156531467,53.02753074870626,10.65603697895371,47.60950708743913,10.490708953773698,8.157222604621833,35.429282266410134,9.185256377397295,0.0,0.3148148148148148,0.6851851851851852,215.0,0,0,1
105,81,0.0,346.9733826580177,1132.056428959893,1506.5053679742377,307.2130162350192,30.263558874973796,196.29731825409382,323.9343511803403,82.25657300460131,12.956780581165809,75.54421792105774,13.018930918555737,9.546208843354655,74.23343818814008,12.436753920149462,0.12037037037037036,0.4861111111111111,0.39351851851851855,215.0,1,0,0
106,82,1.0,1041.2037685478153,1149.3163061461448,1268.0894570293176,51.18157590022617,1.7404322872862394,71.62119622690467,158.54862453571468,47.47617220306722,11.268006366353235,70.62289637183882,10.862793326562123,9.049947805299787,68.59448885047078,10.671889625981995,0.0,0.7979094076655052,0.20209059233449478,286.0,0,0,1
107,82,0.0,1180.5975667784974,1354.060774641915,1509.6590914358244,93.8401592018014,0.23877879428960114,280.1699962416017,577.5855741918049,136.01971336627656,12.558636906065614,71.58758989054512,9.331037040482757,6.186369541992573,58.35184787920807,7.660823924789883,0.0,0.020905923344947737,0.9790940766550522,286.0,1,0,0
108,83,1.0,1174.224758670021,1308.6783226809787,1548.1477842250488,116.55389061367971,78.31326522227107,287.4394927942801,708.9816418492252,236.57719088733546,14.97650593823971,73.14320276068582,14.161294511050249,9.263406030452817,60.97527582676586,10.590752793334216,0.0,0.08241758241758242,0.9175824175824175,181.0,0,0,1
109,83,0.0,268.61660204460895,1040.3344403798778,1242.2519685532711,280.77751353725944,0.48675713741522486,148.93375291949604,319.91192328982163,137.34060707703807,10.651609700137447,80.83147638930699,12.436847462140788,8.20384312866544,59.47379137717104,10.12290480789038,0.1358695652173913,0.532608695652174,0.33152173913043476,183.0,1,0,0
110,84,1.0,1086.3617923254737,1215.307673570905,1299.3265282343814,52.041959502443916,0.8052927037948621,141.24421866839793,316.3975719588277,84.07251875927771,12.873326485690688,117.70149790100757,12.833027376881251,9.32722177907038,70.94545668370296,11.178648123312003,0.0,0.2682926829268293,0.7317073170731707,286.0,0,0,1
111,84,0.0,1092.7452171236414,1238.203416428355,1340.8489704504086,68.2151781555787,3.0852409196676263,229.50643078989012,473.5638926424522,119.68893886960045,10.500074808478267,59.087899577045796,8.063029561457164,6.467938932270963,52.0093601421962,6.676775276169712,0.0,0.313588850174216,0.686411149825784,286.0,1,0,0
112,86,1.0,1123.7390831226903,1278.4565029023313,1443.390708903512,91.77136231620761,0.9091545174928797,181.64557417505566,467.3993162916998,120.22367195466356,10.237005492105387,41.706937926754776,10.483312790514981,7.628563230805997,32.114381260548406,9.688689074894834,0.0,0.14150943396226415,0.8584905660377359,211.0,0,0,1
113,86,0.0,1170.2167691928184,1272.7987191997047,1352.7299027161184,57.36161282380588,156.37716650113907,313.1035415544563,418.108349246255,70.24543205639658,7.004127468307609,32.637996913340146,5.40948828583282,4.305050878089437,24.900450982025095,4.1764336682357115,0.0,0.08450704225352113,0.9154929577464789,212.0,1,0,0
114,87,1.0,1065.6601895180352,1186.9830858263488,1322.142887957073,64.81899178455338,103.96100241037107,333.36674227760454,671.8644293596868,146.59936564766116,9.981276293548296,54.053404084722516,11.214234511974807,6.538018222343366,46.31838055102554,9.186767762146218,0.0,0.6076388888888888,0.3923611111111111,287.0,1,0,0
115,87,0.0,375.8524084466985,1043.611412057377,1306.9732025858525,309.4761126111326,2.9063993772967933,152.10880905053557,337.8033818234695,79.33089543703956,9.815272313546583,170.24976565196667,14.98595331825221,6.93082099121984,169.097808029611,13.001490602401912,0.2048611111111111,0.20833333333333334,0.5868055555555556,287.0,0,0,1
116,90,1.0,326.2499948238774,1051.1183687036657,1441.3879860688821,345.3567328024289,0.9389589747208902,141.73306821769307,577.7610331340583,149.08383942794643,18.26053452517862,102.35905614115019,15.571722071190337,13.33161795301308,78.39143916309821,13.950039632414162,0.20159151193633953,0.29708222811671087,0.5013262599469496,376.0,0,1,1
117,90,0.0,1053.6736332467972,1231.8841855055705,1347.9080785419042,77.74980562978547,0.9830145475337986,164.81838618528013,381.7821892643001,123.1636542065645,10.229080545055137,56.91302856195221,7.540061015957416,5.621409195567597,31.495133484162174,5.5197758479471775,0.0,0.28116710875331563,0.7188328912466844,376.0,1,1,0
